species	cancer_type	correlation
Beatragus_hunteri	breast	0.184546323077339
Beatragus_hunteri	central nervous system	0.177054071290056
Beatragus_hunteri	colon	0.230576594939571
Beatragus_hunteri	colorectal	0.219270666474242
Beatragus_hunteri	endometrial	0.164741487874355
Beatragus_hunteri	gastric	0.205547315477129
Beatragus_hunteri	glioma	0.20382073005394
Beatragus_hunteri	head and neck	0.223498300133116
Beatragus_hunteri	hepatocellular	0.241743489423479
Beatragus_hunteri	intestine	0.192932466295507
Beatragus_hunteri	kidney	0.267905195784544
Beatragus_hunteri	leukaemia	0.156549695554203
Beatragus_hunteri	liver	0.249103736339119
Beatragus_hunteri	lung	0.271681776268776
Beatragus_hunteri	lymphoma	0.213601261891509
Beatragus_hunteri	melanoma	0.2549799148166
Beatragus_hunteri	mesothelioma	0.220656097260967
Beatragus_hunteri	oesophagus	0.148802034367936
Beatragus_hunteri	other tumour types	0.254684325783814
Beatragus_hunteri	ovarian	0.213596835485933
Beatragus_hunteri	paediatric	0.303436728040394
Beatragus_hunteri	pancreas	0.171771503209933
Beatragus_hunteri	prostate	0.178503842197266
Beatragus_hunteri	rare other tumour types	-0.353570085493103
Beatragus_hunteri	renal	0.149329765328936
Beatragus_hunteri	sarcoma	0.21387523497287
Beatragus_hunteri	skin	0.158705657743547
Beatragus_hunteri	small intestine	0.1589407296726
Beatragus_hunteri	soft tissue sarcoma	0.191190231844857
Beatragus_hunteri	testicular	0.0813811959822794
Beatragus_hunteri	thyroid	0.263409194472521
Beatragus_hunteri	urothelial	0.236033629151368
Beatragus_hunteri	uterine	0.211374202763115
Bison_bison	all	0.207774057942121
Bison_bison	bladder	0.245537842068205
Bison_bison	breast	0.173159276091088
Bison_bison	central nervous system	0.204414700331982
